OBJECTID,PROJECT_NUMBER,SEGMENT_NUMBER,LINE_TYPE,LINE_TYPE_DESC,PHYSICAL_PIPE_LENGTH,STATUS,APPLICATION_DETERMINATION_NUM,ACTIVITY_APPROVAL_DATE,ACTIVITY_CANCEL_DATE,LEGACY_OGC_FILE_NUMBER,PROPONENT,AUTHORITY_TYPE,DATA_SOURCE,SHAPELEN
292928,000024630,1,GA,Gathering,1855,New,100103285,2017-10-24T11:52:27.000Z,,,Crew Energy Inc.,OGAA,CGWC,1851.53340891665
292929,000024630,2,DI,Distribution,1855,New,100103285,2017-10-24T11:52:27.000Z,,,Crew Energy Inc.,OGAA,CGWC,1855.48631357753
292930,000024631,1,GA,Gathering,821,New,100103658,2017-11-07T10:58:15.000Z,,,Whitecap Resources Inc.,OGAA,GPSD,822.150027534207
292931,000024631,2,GA,Gathering,821,New,100103658,2017-11-07T10:58:15.000Z,,,Whitecap Resources Inc.,OGAA,GPSD,822.125033811216
292932,000024635,1,FL,Flow,6415,New,100103324,2018-02-19T12:51:57.000Z,,,Canadian Natural Resources Limited,OGAA,GPSD,6414.96461609104
292933,000024639,1,GA,Gathering,6351,Active,100102571,2017-09-08T09:15:04.000Z,,,Crew Energy Inc.,OGAA,SNK,6346.14609585877
292934,000024651,1,GA,Gathering,5185,New,100102855,2018-02-05T14:36:10.000Z,,,Encana Corporation,OGAA,SNK,5178.18500723743
292935,000024651,2,GA,Gathering,5186,New,100102855,2018-02-05T14:36:10.000Z,,,Encana Corporation,OGAA,SNK,5178.71099483952
292936,000024651,3,FG,Fuel Gas,5182,New,100102855,2018-02-05T14:36:10.000Z,,,Encana Corporation,OGAA,SNK,5174.71876155719
292957,000024677,1,GA,Gathering,259,Active,100103549,2017-12-14T15:08:33.000Z,,,Yoho Resources Inc.,OGAA,GPSD,258.379554887306
292958,000024677,2,GA,Gathering,259,Active,100103549,2017-12-14T15:08:33.000Z,,,Yoho Resources Inc.,OGAA,GPSD,258.379554887306
292959,000024681,1,GA,Gathering,1880,Active,100104023,2018-02-28T08:01:02.000Z,,,Shell Canada Limited,OGAA,GPSD,1877.7848163537
292960,000024683,1,GA,Gathering,416,Active,100104029,2017-12-13T08:33:42.000Z,,,Encana Corporation,OGAA,SNK,415.668226000355
292961,000024683,2,GA,Gathering,414,Active,100104029,2017-12-13T08:33:42.000Z,,,Encana Corporation,OGAA,SNK,413.635425749139
292962,000024683,3,FG,Fuel Gas,414,Active,100104029,2017-12-13T08:33:42.000Z,,,Encana Corporation,OGAA,SNK,413.247700811438
292963,000024683,4,FL,Flow,414,Active,100104029,2017-12-13T08:33:42.000Z,,,Encana Corporation,OGAA,SNK,413.692612661971
292937,000024651,4,FL,Flow,5151,New,100102855,2018-02-05T14:36:10.000Z,,,Encana Corporation,OGAA,SNK,5143.77399202885
